condition,regime,wrong,trajectory,seed,B1_F,K1_F,B1_int,K1_int,B1_e,K1_e
0,B,False,185,12422813314409448693,0.564762,0.998528,0.911337,0.998588,0.648368,0.914602
0,B,False,186,8059778070704714746,0.378712,0.881664,0.487961,0.939642,5.244665,6.895878
0,B,False,187,1206506119366577701,0.779060,0.995975,0.926294,0.996364,0.651701,0.882594
0,B,False,188,11642914151321440517,0.359444,0.989719,0.664720,0.996060,2.121729,2.877725
0,B,False,189,2200725611864922824,1.000000,0.943861,0.829122,0.986082,1.149723,1.351332
0,B,False,190,5645983475351932490,0.033461,0.994998,0.715168,0.990527,2.178344,3.147457
0,B,False,191,2392528882247587823,0.027855,0.961176,0.608339,0.990542,2.093866,2.777823
0,B,False,192,15483434965078772100,0.864238,0.999183,0.963958,0.999262,0.433404,0.706209
0,B,False,193,7046595559061846252,0.238431,0.999219,0.827777,0.996788,0.901270,1.664491
0,B,False,194,8604254814403170605,0.939559,0.997035,0.707693,0.995436,1.344914,1.692480
0,B,False,195,5289729503512552104,0.347230,0.967555,0.891457,0.993803,0.653955,1.068970
0,B,False,196,16743614088088865918,0.020191,0.999847,0.621381,0.997369,2.590202,3.687203
0,B,False,197,1830014350420115066,0.061233,0.972515,0.538401,0.984282,2.014818,2.644291
0,B,False,198,10240479074490114078,0.730355,0.997780,0.889585,0.998966,0.791551,1.052593
0,B,False,199,14873079815662905021,0.656709,0.980990,0.647325,0.990120,1.590269,1.990953
1,C,False,0,7823220605447734722,0.973208,0.993587,0.826473,0.998162,1.078025,1.246385
1,C,False,1,3360261949553755004,0.975322,0.992906,0.891267,0.995930,0.812863,1.129864
1,C,False,2,17918722357745603391,0.965147,0.984210,0.868159,0.991448,0.681759,0.764790
1,C,False,3,13047860582671187923,0.885369,0.887782,0.434911,0.919533,2.976040,3.488172
1,C,False,4,12101104037260853741,0.791893,0.999745,0.905256,0.999412,0.685950,0.931485
1,C,False,5,3419051043861357974,0.999966,0.997128,0.856921,0.996082,0.915476,1.481760
1,C,False,6,12589656189573883740,0.998840,0.978126,0.694304,0.984633,1.942239,2.840302
1,C,False,7,3667574126699473590,0.980114,0.988381,0.944649,0.994970,0.432920,0.592570
1,C,False,8,15745939680907434392,0.846952,0.964577,0.851782,0.993064,0.850951,1.281683
1,C,False,9,12674688285153584404,0.995260,0.997028,0.920926,0.998054,0.603622,0.809267
1,C,False,10,130386036099209291,0.850268,0.999961,0.809949,0.998723,1.196444,1.792424
1,C,False,11,11673236025370554425,0.999967,0.999782,0.907056,0.997189,0.658512,0.962188
1,C,False,12,4240322574159367066,0.943144,0.992511,0.832144,0.997056,1.171251,1.482743
1,C,False,13,14939536600783805402,0.938258,0.993449,0.828840,0.998809,1.069034,1.447471
1,C,False,14,13416314771570177077,0.470794,0.973443,0.870919,0.995042,0.790874,1.179782
1,C,False,15,52311016626875733,0.920193,0.997034,0.931834,0.997897,0.632561,0.852763
1,C,False,16,13335046124629134855,0.879455,0.963028,0.982378,0.989875,0.465003,0.594709
1,C,False,17,6699378732475172916,0.852306,0.999607,0.862419,0.991926,1.108255,1.416786
1,C,False,18,6672113573794557623,0.755010,0.954900,0.724356,0.978228,1.120809,1.239909
1,C,False,19,16296482569573595274,0.837364,0.987093,0.946662,0.997327,0.618637,0.705231
